"Medicamentos","Iputinga","Av. Prof. Moraes Rego, 1235",," Universidade Federal de Pernambuco – UFPE",-8.052322,-34.945116
"Medicamentos","Torre ","Rua José Bonifácio, 1315",,"Drogarias Carrefour ",-8.040099,-34.909766
" Óleos de Cozinha","Afogados","Rua da Paz, 82",,"ASA Portaria",-8.079229,-34.904414
" Óleos de Cozinha","Afogados","Rua São Miguel, 250",,"Procuradoria Geral de Justiça",-8.066962,-34.885139
" Óleos de Cozinha"," Bomba do Hemetério","Rua Chã de Alegria, 117",,"Escola Prof. Mardonio de Andrade Lima Coelho",-8.020803,-34.903803
"eletrônico","Jaqueira","Rua do futuro, 959",,"Econúcleo Jaqueira ",-8.035791,-34.904969
"eletrônico"," Boa Vista","Av. Governador Carlos de Lima Cavalcanti","Ao lado do Posto Dom Bosco","Empresa de Manutenção e Limpeza Urbana",-8.056214,-34.895461
"eletrônico","Água Fria ","Av. Aníbal Benévolo, 1552","ao lado Centro Comunitária da Paz - COMPAZ- Alto Santa Terezinha","Compaz Alto Santa Terezinha",-8.010403,-34.903292
"eletrônico","Jiquiá","Av. General San Martin","Ao lado do Condomínio Morada Recife Antigo","Compaz San Martin",-8.060022,-34.926157
" Óleos de Cozinha","Boa viagem","Rua Professor Eduardo Wanderley Filho","Ao lado do Condomínio  Ed. Sky Boa Viagem","colegio boa viagem",-8.110761,-34.894612
" Óleos de Cozinha","Boa Viagem","Rua Padre Cabral","Em frente a loja Miss Meria","Colégio Madre de Deus",-8.133723,-34.907142
" Óleos de Cozinha","Boa vista","Rua da Aurora"," Ao lado da Compesa","Tribunal de Contas do Estado de Pernambuco",-8.056492,-34.878624
" Óleos de Cozinha","Santo Antônio","Rua Moacir Boracho","Ao lado da Secretaria da fazenda do estado de pernambuco","Tribunal de Justiça (Ed. Paula Batista)",-8.062223,-34.876877
" Óleos de Cozinha","Guabiraba","Av. da Recuperação, 318",,"Centro Marista Circuito Jovem",-8.016346,-34.940092
" Óleos de Cozinha","Engenho do Meio","Rua Bom Pastor, 1406",,"Escola Municipal Engenho do Meio",-8.049916,-34.939615
" Óleos de Cozinha","Espinheiro","Av. João de Barros, 1545","Nº1545/1563"," Colégio Saber Viver Espinheiro",-8.041006,-34.891821
" Óleos de Cozinha","Graças","Av. Rui Barbosa, 1680",,"Colégio Núcleo",-8.038775,-34.904595
" Óleos de Cozinha","Ibura","Av. Ministro Oliveira Salazar, 228",,"SESI Ibura",-8.109953,-34.937659
" Óleos de Cozinha","Ibura","Av. Pernambuco","Em frete do NÚCLEO DE SEGURANÇA COMUNITÁRIA","Escola Maria Sampaio de Lucena",-8.121299,-34.946750
" Óleos de Cozinha","Imbiribeira","Av. Marechal Mascarenhas de Morais, 1919",,"Central de Juizados Especiais",-8.099596,-34.909465
" Óleos de Cozinha","Imbiribeira","Rua Conego Lira, 282",,"Escola Anita Garibalde",-8.095385,-34.912275
" Óleos de Cozinha","Ipsep","Rua Saturnino Meireles, s/n",,"EREM Engenheiro Lauro Dinis",-8.114453,-34.921247
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas","Ibura","Rua Rio Tapado, s/n",,"Ecoestação",-8.116730339,-34.9436
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas","Cohab","Av. Santos, s/n",,"Ecoestação",-8.115148417,-34.9536
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas","Totó","Rua Onde de Agosto, s/n",,"Ecoestação",-8.077710064,-34.9718
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas","Campo Grande","Avenida Agamenon Magalhães","Com a rua Odorico Mendes","Ecoestação",-8.039064362,-34.8784
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas","Imbiribeira","Avenida Mascarenhas de Morais","Sentido cidade/subúrbio, próximo ao viaduto Tancredo Neves","Ecoestação",-8.123083048,-34.9133
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas","Arruda","Rua Professor José dos Anjos","(Ao lado do Habitacional Palha de Arroz","Ecoestação",-8.022630485,-34.88009465
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas","Torroes","Rua Maestro Jones Johnson, s/n",,"Ecoestação",-8.057749509,-34.93538838
"metal,isopor,papel,plastico,vidro","Madalena","Rua Visconde de Albuquerque ","Praça Eça de Queiroz","Ecoponto",-8.050744,-34.906654
"metal,isopor,papel,plastico,vidro","Madalena","Avenida Abdias de Carvalho","Fcap","Ecoponto",-8.061185,-34.902842
"metal,isopor,papel,plastico,vidro","Boa Viagem","Av. Boa Viagem ","Praçinha de Boa Viagem, calçada voltada para  a praia","Ecoponto",-8.132223,-34.900055
" Óleos de Cozinha","Aflitos","Av. Cons. Rosa  Silva","SEMAS",,-8.0398523,-34.9015293
" Óleos de Cozinha","Areias","Av. Recife, 3587","EMLURB",,-8.1018629,-34.9304351
" Óleos de Cozinha","Dois Irmãos","Praça Faria Neves, s/n","Compesa - Dois irmãos",,-8.015659,-34.9431149
" Óleos de Cozinha","Jardim São Paulo","Rua Capetinga, s/n","Escola Trajano de Mendoca",,-8.0785098,-34.9435062
" Óleos de Cozinha","Recife Antigo","Av. Rio Branco, 193","EREM Porto Digital",,-8.0627359,-34.8755563
" Óleos de Cozinha","Santo Amaro","Av. Cruz Cabugá, 767","Serviço Social da Indústria - Sesi",,-8.0479,-34.8798227
" Óleos de Cozinha","Totó","Rua Onze de Agosto, 564","Compesa",,-8.0784466,-34.973390
" Óleos de Cozinha","Vasco da gama","Rua Vasco da Gama,145","SESI Vasco da Gama",,-8.0192679,-34.9237825
"eletronico, metal,isopor,papel,plastico,vidro","Imbiribeira","Rua Antônio Cardoso da Fonte, n 483","Pro-Recife","Cooperativa",-8.0977593,-34.921774
"eletronico, oleo de cozinha, metal,isopor,papel,plastico,vidro","Afogados ","Rua Oscár Melo","COOPAGRES","Cooperativa",-8.0977611,-34.9283407
"metal,isopor,papel,plastico,vidro","Arruda","Rua Farias Neves, n 982","Palha de arroz","Cooperativa",-8.0203083,-34.8764555
"metal,isopor,papel,plastico,vidro","São José","Avenida Sul, S/N ","Cooperativa Verde Nossa Vida","Cooperativa",-8.0754417,-34.8909016
"metal,isopor,papel,plastico,vidro","São José","Avenida Sul, S/N","Cooperativa Esperança Viva","Cooperativa",-8.0754159,-34.8910941
"metal,isopor,papel,plastico,vidro","São José","Travessa do Gusmão","Cooperativa do Gusmão","Cooperativa",-8.0722601,-34.8869336
"metal,isopor,papel,plastico,vidro","Torre","Rua Eliéser Olímpio de Moura, 100 A","Cooperativa Recicla Torre","Cooperativa",-8.0445617,-34.9151526
"metal,isopor,papel,plastico,vidro","Dois Unidos/Passarinho","Av. Chagas Ferreira, 601","Cooperativa Resgatando Vidas","Cooperativa",-8.0050971,-34.9144973
"Pneu","Madalena","Av. Abdias de Carvalho, 341","Pneus Pirelle",,-8.0614164,-34.9087182
"Pneu","Espinheiro","Av. Norte, 2261","Bridgestone Pneus",,-8.0392157,-34.893334
"Pneu","São José","Rua Lourenço de Sá, 165","Pneu Verde",,-8.0743288,-34.8980205
"Lampada","Imbiribeira","Rua Francisco Correa de Moraes, 100","Carrefour RBV Boa Viagem",,-8.1241489,-34.9132995
"Lampada","Torre","Rua José Bonifácio, 1315","Carrefour REC Recife",,-8.0404452,-34.9125314
